,DenseNet121,,,,,,,,Xception,,,,,,,,VGG16,,,,,,,,ResNet152,,,,,,,,ResNet50,,,,,,,,MobileNetV2,,,,,,,,Inception,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,precision,recall,f1-score,support,,,,,precision,recall,f1-score,support,,,,,precision,recall,f1-score,support,,,,,precision,recall,f1-score,support,,,,,precision,recall,f1-score,support,,,,,precision,recall,f1-score,support,,,,,precision,recall,f1-score,support
ABE,0,0,0,2,,,,ABE,0,0,0,2,,,,ABE,0,0,0,3,,,,ABE,0,0,0,2,,,,ABE,0,0,0,1,,,,ABE,0,0,0,3,,,,ABE,0,0,0,4
ART,0.74,0.77,0.75,2933,,,,ART,0.86,0.85,0.86,2899,,,,ART,0.6,0.73,0.66,2883,,,,ART,0.49,0.95,0.65,2954,,,,ART,0.73,0.91,0.81,2949,,,,ART,0.86,0.79,0.82,2812,,,,ART,0.8,0.8,0.8,2934
BAS,0,0,0,70,,,,BAS,0.95,0.3,0.45,71,,,,BAS,0,0,0,68,,,,BAS,0.07,0.04,0.05,68,,,,BAS,0.4,0.03,0.06,60,,,,BAS,0.67,0.18,0.28,57,,,,BAS,0,0,0,55
BLA,0.61,0.67,0.64,1833,,,,BLA,0.75,0.78,0.77,1822,,,,BLA,0.45,0.6,0.51,1793,,,,BLA,0.58,0.57,0.57,1723,,,,BLA,0.73,0.73,0.73,1839,,,,BLA,0.79,0.6,0.68,1864,,,,BLA,0.63,0.73,0.68,1821
EBO,0.84,0.89,0.86,4185,,,,EBO,0.93,0.92,0.92,4136,,,,EBO,0.76,0.89,0.82,4168,,,,EBO,0.93,0.91,0.92,4139,,,,EBO,0.96,0.91,0.93,4172,,,,EBO,0.89,0.94,0.91,4210,,,,EBO,0.9,0.91,0.91,4140
EOS,0.89,0.81,0.85,871,,,,EOS,0.96,0.93,0.94,886,,,,EOS,0.44,0.05,0.09,895,,,,EOS,0.95,0.77,0.85,874,,,,EOS,0.94,0.91,0.92,882,,,,EOS,0.9,0.94,0.92,831,,,,EOS,0.6,0.92,0.73,871
FGC,0,0,0,5,,,,FGC,0,0,0,4,,,,FGC,0,0,0,5,,,,FGC,0,0,0,5,,,,FGC,0,0,0,5,,,,FGC,0,0,0,1,,,,FGC,0,0,0,9
HAC,0,0,0,63,,,,HAC,0.52,0.34,0.41,50,,,,HAC,0,0,0,70,,,,HAC,0.06,0.03,0.04,59,,,,HAC,0,0,0,62,,,,HAC,0,0,0,66,,,,HAC,0,0,0,61
KSC,0,0,0,4,,,,KSC,0,0,0,8,,,,KSC,0,0,0,4,,,,KSC,0,0,0,1,,,,KSC,0,0,0,3,,,,KSC,0,0,0,5,,,,KSC,0,0,0,9
LYI,0,0,0,20,,,,LYI,0,0,0,13,,,,LYI,0,0,0,19,,,,LYI,0,0,0,26,,,,LYI,0,0,0,13,,,,LYI,0,0,0,10,,,,LYI,0,0,0,11
LYT,0.77,0.86,0.81,3994,,,,LYT,0.88,0.89,0.88,3991,,,,LYT,0.73,0.81,0.77,4025,,,,LYT,0.73,0.82,0.77,3993,,,,LYT,0.83,0.9,0.86,3841,,,,LYT,0.79,0.92,0.85,3994,,,,LYT,0.78,0.9,0.84,3960
MMZ,0.56,0.01,0.02,487,,,,MMZ,0.56,0.41,0.48,465,,,,MMZ,0,0,0,462,,,,MMZ,0.55,0.12,0.2,437,,,,MMZ,0.59,0.28,0.38,464,,,,MMZ,0.43,0.43,0.43,428,,,,MMZ,0.41,0.18,0.25,457
MON,0.4,0.17,0.24,568,,,,MON,0.78,0.61,0.68,614,,,,MON,0.43,0.15,0.22,597,,,,MON,0.62,0.18,0.28,539,,,,MON,0.69,0.59,0.64,601,,,,MON,0.56,0.74,0.64,615,,,,MON,0.56,0.58,0.57,579
MYB,0.4,0.32,0.36,948,,,,MYB,0.71,0.61,0.66,1000,,,,MYB,0.3,0.3,0.3,955,,,,MYB,0.61,0.36,0.46,957,,,,MYB,0.65,0.56,0.6,1001,,,,MYB,0.66,0.54,0.6,918,,,,MYB,0.67,0.52,0.59,948
NGB,0.55,0.46,0.5,1433,,,,NGB,0.71,0.74,0.73,1493,,,,NGB,0.52,0.27,0.35,1553,,,,NGB,0.81,0.33,0.47,1523,,,,NGB,0.73,0.55,0.62,1562,,,,NGB,0.73,0.55,0.63,1511,,,,NGB,0.62,0.62,0.62,1541
NGS,0.82,0.85,0.83,4354,,,,NGS,0.87,0.91,0.89,4256,,,,NGS,0.75,0.87,0.8,4203,,,,NGS,0.8,0.85,0.82,4334,,,,NGS,0.83,0.92,0.87,4258,,,,NGS,0.85,0.93,0.89,4415,,,,NGS,0.84,0.88,0.86,4390
NIF,0.5,0.1,0.17,507,,,,NIF,0.51,0.55,0.53,512,,,,NIF,0.44,0.01,0.01,559,,,,NIF,0.35,0.32,0.33,513,,,,NIF,0.69,0.29,0.41,497,,,,NIF,0.69,0.09,0.16,494,,,,NIF,0.66,0.04,0.08,532
OTH,0,0,0,54,,,,OTH,0.74,0.47,0.58,49,,,,OTH,0,0,0,50,,,,OTH,0,0,0,41,,,,OTH,0.83,0.09,0.16,55,,,,OTH,0,0,0,52,,,,OTH,0,0,0,41
PEB,0.59,0.63,0.61,407,,,,PEB,0.64,0.75,0.69,369,,,,PEB,0.6,0.31,0.41,437,,,,PEB,0.82,0.46,0.59,421,,,,PEB,0.78,0.6,0.68,411,,,,PEB,0.57,0.81,0.67,400,,,,PEB,0.77,0.46,0.58,396
PLM,0.67,0.73,0.7,1229,,,,PLM,0.88,0.87,0.87,1204,,,,PLM,0.6,0.41,0.49,1209,,,,PLM,0.9,0.72,0.8,1215,,,,PLM,0.82,0.85,0.83,1135,,,,PLM,0.9,0.74,0.82,1227,,,,PLM,0.9,0.7,0.79,1147
PMO,0.6,0.79,0.68,1761,,,,PMO,0.79,0.85,0.82,1884,,,,PMO,0.53,0.75,0.62,1770,,,,PMO,0.82,0.55,0.66,1904,,,,PMO,0.77,0.81,0.79,1917,,,,PMO,0.73,0.88,0.8,1815,,,,PMO,0.76,0.76,0.76,1822
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accuracy,0.73,25728,,,,,,accuracy,0.83,25728,,,,,,accuracy,0.64,25728,,,,,,accuracy,0.72,25728,,,,,,accuracy,0.81,25728,,,,,,accuracy,0.8,25728,,,,,,accuracy,0.77,25728,,
macro avg,0.43,0.38,0.38,25728,,,,macro avg,0.62,0.56,0.58,25728,,,,macro avg,0.34,0.29,0.29,25728,,,,macro avg,0.48,0.38,0.4,25728,,,,macro avg,0.57,0.47,0.49,25728,,,,macro avg,0.53,0.48,0.48,25728,,,,macro avg,0.47,0.43,0.43,25728
weighted avg,0.71,0.73,0.71,25728,,,,weighted avg,0.83,0.83,0.83,25728,,,,weighted avg,0.61,0.64,0.61,25728,,,,weighted avg,0.74,0.72,0.7,25728,,,,,,,,,,,,weighted avg,0.8,0.8,0.79,25728,,,,weighted avg,0.77,0.77,0.76,25728
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,0.425714286,0.383809524,0.381904762,,,,,mean,0.620952381,0.560952381,0.579047619,,,,,mean,0.34047619,0.292857143,0.288095238,,,,,mean,0.48047619,0.38,0.402857143,,,,,mean,0.57,0.472857143,0.49,,,,,mean,0.524761905,0.48,0.480952381,,,,,mean,0.471428571,0.428571429,0.431428571,
